id,nome_coluna,tipo_dado,obrigatorio,tabela_id
1,idUsuario,INT,t,1
2,nome,VARCHAR(255),t,1
3,idade,INT,f,1
4,numeroDocumento,VARCHAR(255),f,1
5,genero,VARCHAR(50),f,1
6,telefone,VARCHAR(50),f,1
7,endereco,VARCHAR(255),f,1
8,perfil,VARCHAR(255),f,1
9,permissao,BOOLEAN,f,1
10,idHistorico,INT,t,2
11,usuarioAssociado,INT,t,2
12,listaDeViagens,VARCHAR(255),f,2
13,idBonificacao,INT,t,3
14,pontosDeBonificacao,INT,f,3
15,usuarioAssociado,INT,t,3
16,idLogin,INT,t,4
17,usuario,VARCHAR(255),t,4
18,dataCadastro,DATE,f,4
19,email,VARCHAR(255),t,4
20,senha,VARCHAR(255),t,4
21,idPreferencias,INT,t,5
22,tipoLocal,VARCHAR(255),f,5
23,climaPreferido,VARCHAR(255),f,5
24,atrativosTuristicos,VARCHAR(255),f,5
25,frequenciaViagem,INT,f,5
26,destinosPreferidos,VARCHAR(255),f,5
27,distancia,DOUBLE,f,5
28,idAdmin,INT,t,6
29,nome,VARCHAR(255),t,6
30,email,VARCHAR(255),t,6
31,senha,VARCHAR(255),t,6
32,nivelAcesso,VARCHAR(50),f,6
33,telefone,INT,f,6
34,idDestino,INT,t,7
35,nome,VARCHAR(255),t,7
36,descricao,VARCHAR(255),f,7
37,localizacao,VARCHAR(255),f,7
38,duracaoViagem,TIME,f,7
39,custoMedio,DOUBLE,f,7
40,clima,VARCHAR(255),f,7
41,avaliacao,INT,f,7
42,recomendacao,BOOLEAN,f,7
43,idRota,INT,t,8
44,origem,VARCHAR(255),t,8
45,destino,VARCHAR(255),t,8
46,distancia,DOUBLE,f,8
47,tempoEstimado,TIME,f,8
48,pontosDeParada,VARCHAR(255),f,8
49,condicoesRota,VARCHAR(255),f,8
50,idTransporte,INT,t,9
51,nome,VARCHAR(255),t,9
52,capacidade,INT,f,9
53,preco,FLOAT,f,9
54,quilometragem,DOUBLE,f,9
55,tempoGasto,FLOAT,f,9
56,disponibilidade,BOOLEAN,f,9
57,idTrajeto,INT,t,10
58,inicioTrajeto,TIME,f,10
59,fimTrajeto,TIME,f,10
60,tempo,TIME,f,10
61,idRestaurante,INT,t,11
62,funcionamento,VARCHAR(255),f,11
63,idAtracao,INT,t,12
64,atracoesDiarias,VARCHAR(255),f,12
65,idHospedagem,INT,t,13
66,disponibilidade,VARCHAR(255),f,13
